114,114ねぎとろ甘えび丼(ねぎとろ/甘えび)
115,115ねぎとろアボカド丼(ねぎとろ/アボカド)
116,116イカ盛り丼(イカ)
117,117イカ明太子丼(イカ/明太子)
118,118イカねぎとろ丼(イカ/ねぎとろ)
119,119イカおくら丼(イカ/おくら)
120,120煮ホタテあさり丼(煮ホタテ/あさり)
121,121煮ホタテ生ホタテ丼(煮ホタテ/生ホタテ)
122,122煮ホタテボイルえび丼(煮ホタテ/ボイルえび)
123,123漬けあさり丼(漬けあさり)
124,124貝づくし丼(ホッキ貝/ツブ貝/ホッキ貝のヒモ)
125,125穴子丼(穴子)
126,126穴子ねぎとろ丼(穴子/ねぎとろ)
127,127穴子五目丼(穴子/ボイルえび/玉子/きゅうり/おぼろ)
128,128穴子煮ホタテ丼(穴子/煮ホタテ)
129,129ボイルえびアボカド丼(ボイルえび/アボカド/マヨネーズ)
130,130ボイルえびマヨ丼(ボイルえび/マヨネーズ)
131,131エビづくし丼(ボイルえび/有頭エビ/甘エビ)
132,132旨辛シュリンプ丼(甘えび/ボイルエビ/旨辛のタレ/錦糸卵)
133,133旨辛アボカ丼(まぐろぶつ/サーモン切り落とし/旨辛のタレ/アボカド)
134,134海苔玉漬けサーモン丼(韓国海苔/漬けサーモン/温玉)
135,135海苔いくらわさびとろろ丼(韓国海苔/わさびとろろ/いくら)
136,136ガツ盛り丼(サーモン/焼きハラス/炙りアブラカレイ/漬けまぐろ/ねぎとろ)
137,137魚雷丼(まぐろ/ねぎとろ/焦がしバター醤油サーモン/トロサーモン/温玉)
138,138まぐロック丼(まぐろ/漬けまぐろ/炙り漬けまぐろ/ビントロ/ねぎとろ)
139,139ひまわり丼(焼きハラス/トロサーモン/サーモン/焦がしバター醤油サーモン/ねぎとろ)
140,140ノルウェー丼(炙りチーズサーモン/サーモン切り落とし(焼き肉タレ)/ねぎとろ/開きエビ/炙り縁側)
141,141アボ玉ユッケ丼(しらす/まぐろブツ/サーモン切り落とし/アボカド(焼き肉タレ)/温玉)
142,142炙りマヨサーモン隠しネギトロ丼(ねぎとろ/炙りマヨサーモン/ブラックペッパー)
143,143韓国海苔玉丼(韓国海苔/まぐろぶつ/サーモン切り落とし/炙りアブラカレイ/ボイルエビ/温玉/旨辛のタレ)
144,144てんこ盛り丼(まぐろ/炙り焼きハラス/漬けサーモン/ねぎとろ/カニフレーク/いくら/縁側)
145,145にぎやか丼(まぐろ/たこ/漬けまぐろ/ねぎとろ/炙りマヨハラス/生ホタテ/いくら)
146,146ごっつり丼(サーモン/炙りアブラカレイ/焦がしバター醤油サーモン/ねぎとろ/トロサーモン/焼きハラス/温玉)
147,147サザンカ丼(サーモン/生ホタテ/イカおくら/炙り縁側/ねぎとろ/炙りチーズえび/いくら)
148,148やみつき丼(サーモン/炙りチーズハラス/まぐろブツ(焼き肉タレ)/ねぎとろ/しらす/いくら/温玉)
149,149つむぎ丼(サーモン/ブリ/漬けまぐろ/焦がし醤油バターサーモン/炙りアブラカレイ/ねぎとろ)
150,150かえで丼(まぐろ/ブリ/縁側/漬けサーモン/開きエビ/ねぎとろ)
151,151炙り焦がし彩丼(炙りサーモン/炙りマヨハラス/ねぎとろ/漬けサーモン/焦がしバター醤油サーモン/炙り縁側)
